chrom_left	start_left	end_left	chrom_right	start_right	end_right	pet counts between left and right anchors	p-value	FDR
chr14	106024442	106026070	chr14	106089633	106091137	2	1.34E-08	8.92E-06
chr14	106024492	106025999	chr14	106069949	106071469	2	2.23E-08	8.92E-06
chr14	106024495	106026117	chr14	106207995	106209538	2	1.57E-08	8.92E-06
chr14	106069904	106071455	chr14	106133340	106134990	3	4.33E-12	7.15E-09
chr14	106089600	106093594	chr14	106133329	106136337	5	5.19E-19	1.53E-15
chr14	106175496	106178265	chr14	106206681	106209553	2	4.45E-09	4.79E-06
chr14	106175890	106178227	chr14	106324207	106326286	2	1.57E-10	2.16E-07
chr15	22907077	22909939	chr15	22916249	22919563	6	4.20E-28	1.99E-24
chr15	27845419	27846949	chr15	28000229	28001733	2	3.12E-11	4.69E-08
chr15	31449940	31451544	chr15	31491306	31492836	2	8.85E-11	1.26E-07
chr15	33358743	33361658	chr15	33374465	33377496	5	1.58E-21	5.46E-18
chr15	38884388	38886106	chr15	39959478	39962288	3	2.46E-09	2.76E-06
chr15	38884437	38887093	chr20	52739414	52742010	2	0.000365188	0.000368992
chr15	39000350	39002520	chr15	39959441	39962244	2	7.62E-09	7.79E-06
chr15	39564890	39566396	chr15	39825276	39826960	2	2.19E-09	2.48E-06
chr15	39825320	39828146	chr15	39959376	39962308	5	4.19E-17	1.09E-13
chr15	39863703	39866547	chr15	39959441	39962378	3	2.05E-11	3.16E-08
chr15	39887267	39890233	chr15	39959437	39962272	3	1.64E-10	2.26E-07
chr15	39915809	39918658	chr15	39959492	39962308	2	3.55E-08	8.92E-06
chr15	39919057	39923712	chr15	39959433	39962289	6	9.33E-22	3.29E-18
chr15	39959376	39962266	chr15	40080056	40082843	2	8.38E-08	8.92E-06
chr15	39960769	39962272	chr15	39978857	39980489	2	1.56E-08	8.92E-06
chr15	40626926	40628758	chr15	40700393	40703256	3	6.74E-14	1.36E-10
chr15	40661906	40664770	chr15	40712312	40715091	2	1.16E-10	1.62E-07
chr15	42357521	42360538	chr15	42375137	42379091	24	0	0
chr15	44212975	44215926	chr15	44266668	44268760	2	3.12E-11	4.69E-08
chr15	47808740	47811576	chr15	47914949	47917855	4	2.15E-19	6.50E-16
chr16	87839352	87842131	chr16	88992162	88994973	2	3.66E-05	3.93E-05
chr16	87866998	87869769	chr16	87884361	87887222	2	4.38E-07	8.92E-06
chr16	88828560	88831501	chr16	88993697	88996467	2	4.25E-06	9.11E-06
chr16	88988917	88991825	chr16	89001472	89005988	5	1.57E-16	3.86E-13
chr16	88988946	88991886	chr16	89040063	89042966	3	4.53E-10	5.84E-07
chr16	88988961	88991836	chr16	89069767	89071426	3	4.21E-10	5.45E-07
chr16	88988983	88990504	chr16	89220357	89221966	2	1.95E-06	8.92E-06
chr16	88990209	88991780	chr16	89118803	89121209	2	4.52E-07	8.92E-06
chr16	88992168	88996528	chr16	89001421	89004939	14	0	3.80E-43
chr16	88992210	88995117	chr16	89068485	89071340	3	2.70E-09	3.01E-06
chr16	88992491	88995323	chr16	89113710	89116506	2	2.87E-06	8.92E-06
chr16	88992534	88996987	chr16	89219102	89222270	9	3.18E-26	1.39E-22
chr16	88992553	88995049	chr16	89040035	89042947	2	2.14E-06	8.92E-06
chr16	88993387	88995231	chr3	61951872	61953446	2	1.65E-06	8.92E-06
chr16	88993608	88995233	chr17	56715849	56718628	2	0.0112721	0.0112757
chr16	89040122	89042018	chr16	89068409	89071390	2	2.07E-08	8.92E-06
chr16	89155535	89158381	chr16	89171976	89173757	2	6.33E-10	7.89E-07
chr16	89645869	89647935	chrX	145839056	145840556	2	3.41E-12	5.69E-09
chr17	617764	619950	chr8	98775248	98777932	2	7.92E-08	8.92E-06
chr17	1633070	1635928	chr17	1678833	1681776	6	5.04E-25	2.09E-21
chr17	1638550	1641397	chr17	1678880	1681815	8	3.54E-32	1.92E-28
chr17	1650448	1652023	chr17	1678929	1681746	2	2.66E-09	2.97E-06
chr17	1679041	1681732	chr17	1848955	1850775	2	1.12E-06	8.92E-06
chr17	3634275	3637134	chr17	4151336	4152898	2	8.76E-09	8.83E-06
chr17	3634283	3635793	chr17	4435769	4438601	2	1.67E-07	8.92E-06
chr17	3841169	3843962	chr17	3892081	3893689	2	1.49E-10	2.06E-07
chr17	3878794	3881087	chr17	3892081	3893612	2	1.05E-09	1.26E-06
chr17	4138448	4141266	chr17	4151050	4152917	2	1.51E-08	8.92E-06
chr17	4151396	4153020	chr17	4436385	4438501	3	2.26E-10	3.04E-07
chr17	4435860	4438607	chr17	4625005	4626596	2	3.58E-08	8.92E-06
chr17	4436280	4439274	chr17	4477928	4480785	10	2.48E-35	1.53E-31
chr17	4436431	4439237	chr17	4582832	4585865	5	3.77E-18	1.05E-14
chr17	4477836	4480738	chr17	4493401	4495481	3	1.47E-13	2.85E-10
chr17	4477863	4480759	chr17	4580432	4585741	5	2.65E-20	8.47E-17
chr17	4477873	4480754	chr17	4495531	4498682	6	7.24E-25	2.98E-21
chr18	60798415	60801313	chr18	60921979	60923548	3	8.04E-11	1.15E-07
chr18	60798487	60801912	chr18	60821629	60824862	6	1.47E-18	4.20E-15
chr18	60798502	60801412	chr18	60925481	60927035	3	7.02E-11	1.01E-07
chr18	60821530	60825037	chr18	60907245	60910694	60	0	0
chr18	60821557	60823168	chr18	60891730	60894580	3	1.19E-09	1.41E-06
chr18	60821567	60823227	chr18	60896807	60899682	2	9.64E-07	8.92E-06
chr18	60821574	60824656	chr18	60920681	60928453	13	2.11E-35	1.31E-31
chr18	60821600	60824526	chr18	60886933	60889770	5	1.43E-15	3.25E-12
chr18	60821615	60825015	chr18	60852965	60855817	7	5.11E-23	1.92E-19
chr18	60822847	60824529	chr18	60931289	60934096	3	2.51E-09	2.82E-06
chr18	60822921	60824426	chr18	60985386	60987103	2	3.08E-07	8.92E-06
chr18	60853062	60855880	chr18	60907369	60910181	5	5.78E-15	1.27E-11
chr18	60886847	60891211	chr18	60907288	60910562	12	3.00E-37	2.02E-33
chr18	60888169	60889770	chr18	60920748	60923557	3	5.18E-11	7.58E-08
chr18	60891743	60894562	chr18	60907299	60910194	7	2.11E-21	7.23E-18
chr18	60896819	60899608	chr18	60907349	60910112	4	1.74E-12	3.00E-09
chr18	60907220	60910625	chr18	60920596	60928484	58	0	0
chr18	60907279	60910438	chr18	60931195	60934140	10	3.93E-31	2.06E-27
chr18	60907384	60910221	chr18	60988050	60990133	2	1.02E-06	8.92E-06
chr18	60907488	60910182	chr18	60984237	60986922	3	1.89E-09	2.17E-06
chr18	60907601	60910311	chr20	52811968	52813512	2	0.0144461	0.0144495
chr18	73741291	73742791	chr4	93354792	93356293	2	2.72E-11	4.13E-08
chr18	76651453	76654093	chr18	76822944	76824484	3	1.24E-12	2.19E-09
chr19	454803	456417	chr19	533868	536658	2	1.92E-09	2.20E-06
chr19	1165513	1168659	chr19	1180247	1184122	43	0	0
chr19	1165563	1168423	chr19	1184290	1187251	6	1.64E-19	5.00E-16
chr19	1166790	1169418	chr19	1207622	1209569	2	3.27E-07	8.92E-06
chr19	1169008	1171985	chr19	1180251	1183266	13	2.24E-44	1.84E-40
chr19	1169010	1171931	chr19	1184446	1187136	3	1.61E-10	2.22E-07
chr19	1180286	1183413	chr19	1259337	1260917	11	2.94E-41	2.24E-37
chr19	1180299	1183379	chr19	1511837	1514804	6	6.04E-16	1.41E-12
chr19	1180521	1183439	chr19	1206631	1209721	5	2.81E-16	6.76E-13
chr19	1180582	1184168	chr19	1253278	1255020	3	5.04E-10	6.43E-07
chr19	1181724	1183298	chr19	1870085	1872823	2	1.51E-06	8.92E-06
chr19	1185671	1187189	chr19	1259294	1260875	2	7.35E-08	8.92E-06
chr19	1394128	1395726	chr19	1511919	1514827	2	2.50E-07	8.92E-06
chr19	1489860	1492683	chr19	1511820	1514709	2	6.04E-09	6.32E-06
chr19	1511817	1514765	chr19	2574967	2577833	7	3.06E-20	9.75E-17
chr19	1512000	1514072	chr19	2153317	2156078	2	6.23E-08	8.92E-06
chr2	237782249	237785020	chr2	237893982	237895502	2	9.30E-10	1.13E-06
chr2	237805269	237806851	chr2	237934391	237935987	2	4.62E-11	6.82E-08
chr2	237874630	237877440	chr2	237948626	237951555	6	1.21E-20	3.94E-17
chr2	237874668	237877366	chr2	237953107	237954679	2	9.53E-09	8.92E-06
chr2	237893896	237896494	chr2	237948749	237951557	4	2.48E-14	5.20E-11
chr2	237933106	237935985	chr2	237948580	237951584	5	1.50E-18	4.30E-15
chr2	237948674	237951535	chr2	237967809	237970755	6	1.07E-23	4.15E-20
chr2	237948674	237951601	chr2	237983362	237986310	17	0	0
chr2	237983356	237986258	chr2	238467655	238469194	2	1.15E-06	8.92E-06
chr2	238394610	238397355	chr2	238403767	238405321	3	2.10E-13	4.01E-10
chr2	238403708	238406674	chr2	238466415	238469185	7	9.62E-24	3.74E-20
chr2	238403751	238406689	chr2	238417432	238420388	4	1.95E-14	4.11E-11
chr2	238409918	238412786	chr2	238466242	238469248	6	1.48E-20	4.81E-17
chr2	238417444	238420355	chr2	238466265	238469266	12	2.79E-42	2.20E-38
chr2	238466312	238469180	chr2	238475978	238478797	3	5.75E-13	1.05E-09
chr2	240189126	240191729	chr2	241008121	241010768	2	1.15E-08	8.92E-06
chr20	413922	416934	chr20	424441	427303	5	3.16E-21	1.07E-17
chr20	808429	811296	chr20	933002	935836	4	4.05E-19	1.20E-15
chr20	884013	886272	chr20	933084	935643	2	1.24E-09	1.47E-06
chr20	2148520	2150120	chr20	2187110	2188652	2	2.81E-10	3.75E-07
chr20	2188504	2190007	chr20	2223860	2225809	2	3.24E-11	4.86E-08
chr20	4088952	4095819	chr20	4113962	4120227	39	0	0
chr20	4089020	4091965	chr20	4140789	4144260	7	2.23E-27	1.02E-23
chr20	4089052	4091840	chr20	4151473	4154274	2	2.20E-08	8.92E-06
chr20	4115909	4118842	chr20	4140754	4144214	8	5.37E-30	2.73E-26
chr20	4116046	4118689	chr20	4151538	4155346	4	6.48E-16	1.51E-12
chr20	15421139	15422682	chr20	16521882	16523464	2	9.42E-09	8.92E-06
chr20	17625502	17627131	chr20	17874495	17878468	5	1.12E-20	3.66E-17
chr20	19109512	19112457	chr20	19262789	19265789	4	8.17E-14	1.63E-10
chr20	19112685	19115580	chr20	19262828	19264360	3	3.11E-11	4.68E-08
chr20	19193206	19196119	chr20	19262931	19265700	2	6.59E-08	8.92E-06
chr21	46740133	46741705	chr21	46840446	46843117	2	5.19E-09	5.50E-06
chr21	46747028	46748857	chr21	46805328	46808291	8	4.89E-32	2.64E-28
chr21	46748860	46751789	chr21	46771424	46774305	4	1.36E-16	3.37E-13
chr21	46748904	46751825	chr21	46805315	46808295	18	0	0
chr21	46748915	46751582	chr21	46835066	46837889	2	2.67E-08	8.92E-06
chr21	46771479	46774324	chr21	46805372	46806978	2	8.22E-08	8.92E-06
chr21	46805361	46808231	chr21	46821875	46824797	3	2.51E-11	3.83E-08
chr21	46805364	46808229	chr21	46846386	46849279	7	7.49E-29	3.66E-25
chr21	46805383	46806888	chr21	47288037	47289636	2	2.35E-07	8.92E-06
chr21	46805389	46808159	chr21	46859261	46861979	2	3.97E-08	8.92E-06
chr21	46805415	46808209	chr21	46836480	46838049	2	3.97E-08	8.92E-06
chr21	46805447	46807011	chr21	46816523	46818171	2	1.40E-08	8.92E-06
chr21	46806783	46808357	chr21	46899948	46902827	2	2.87E-08	8.92E-06
chr21	46932108	46934874	chr21	46952561	46955397	2	6.28E-10	7.85E-07
chr21	47287031	47289840	chr21	47324915	47327785	5	1.33E-20	4.34E-17
chr21	47326297	47327825	chr21	47620007	47622402	2	3.61E-09	3.94E-06
chr21	47608151	47609892	chr21	47620882	47622994	2	1.01E-09	1.23E-06
chr22	18317152	18320315	chr22	18330155	18331803	3	5.66E-16	1.33E-12
chr22	18406300	18409072	chr22	18470538	18472808	2	6.89E-11	9.93E-08
chr22	19998000	19999631	chr22	20008308	20011017	2	3.39E-10	4.46E-07
chr22	21208771	21211703	chr22	21240643	21243481	2	1.60E-07	8.92E-06
chr22	21237969	21244205	chr22	21269583	21273273	70	0	0
chr22	21240582	21243506	chr22	21423453	21426293	5	5.49E-16	1.29E-12
chr22	21240593	21242132	chr22	37592515	37594459	2	1.74E-06	8.92E-06
chr22	21240621	21243568	chr22	21260492	21263432	2	3.15E-08	8.92E-06
chr22	21269917	21272772	chr22	21423430	21426484	4	1.98E-12	3.41E-09
chr22	21271119	21272671	chr22	29208503	29210056	2	3.67E-05	3.94E-05
chr22	22301307	22302808	chr4	140761929	140763505	2	9.20E-10	1.12E-06
chr22	23221668	23223214	chr22	23294526	23296047	2	1.52E-10	2.09E-07
chr22	23251014	23253772	chr22	23294510	23297489	4	4.72E-17	1.22E-13
chr22	23492175	23495139	chr22	23507254	23511213	4	3.67E-16	8.74E-13
chr22	23492196	23494994	chr22	23611907	23613451	2	2.87E-08	8.92E-06
chr22	23533219	23534727	chr22	23610586	23612126	2	2.18E-09	2.48E-06
chr22	24602798	24604440	chr22	24748086	24749631	2	3.48E-08	8.92E-06
chr3	193875458	193878164	chr3	196012904	196015722	2	0.00010795	0.000111138
chr3	193875463	193878484	chr3	194031925	194034967	14	4.85E-43	3.94E-39
chr3	193875463	193878510	chr3	193978111	193981079	12	6.86E-37	4.55E-33
chr3	193875465	193878400	chr3	194040456	194043436	11	8.76E-33	4.86E-29
chr3	193875506	193878367	chr3	194061102	194064920	6	1.11E-15	2.53E-12
chr3	193875527	193878411	chr3	194213785	194217291	3	2.63E-07	8.92E-06
chr3	193875533	193878400	chr3	193893691	193896627	3	1.67E-09	1.93E-06
chr3	193875647	193878362	chr3	194053844	194055511	4	3.40E-12	5.68E-09
chr3	193875684	193878359	chr3	193987033	193989848	2	7.35E-07	8.92E-06
chr3	193876793	193878404	chr3	193884937	193887591	3	1.75E-09	2.02E-06
chr3	194032001	194033559	chr3	194040538	194043371	2	8.90E-08	8.92E-06
chr3	194041790	194043356	chr3	194215133	194217271	2	2.53E-07	8.92E-06
chr3	194052604	194055498	chr3	194063441	194064945	2	8.70E-08	8.92E-06
chr3	194062096	194064947	chr3	194090859	194093031	2	1.74E-08	8.92E-06
chr3	194750344	194752767	chr3	194904812	194906618	2	1.30E-08	8.92E-06
chr3	194751175	194753969	chr3	194813673	194816574	3	6.09E-13	1.11E-09
chr3	194813678	194816489	chr3	194824720	194827324	3	1.15E-12	2.04E-09
chr3	195641616	195643132	chr3	196012962	196014820	2	2.27E-07	8.92E-06
chr3	196012962	196015815	chr3	196068786	196071661	4	8.00E-16	1.85E-12
chr3	196012977	196015817	chr3	197213500	197216386	2	7.77E-08	8.92E-06
chr3	197080081	197081632	chr3	197191754	197194548	2	1.79E-08	8.92E-06
chr4	986324	987959	chr4	1237918	1240826	2	2.43E-07	8.92E-06
chr4	990330	993224	chr4	1238113	1240809	3	1.80E-10	2.47E-07
chr4	1239287	1240796	chr4	1813793	1816459	2	1.99E-07	8.92E-06
chr4	1239311	1240879	chr4	1555393	1558148	4	1.56E-15	3.53E-12
chr4	1813735	1816548	chr4	1826311	1829320	10	5.63E-43	4.57E-39
chr4	2681794	2684566	chr4	2690641	2692146	2	6.42E-11	9.30E-08
chr4	2771571	2773220	chr4	2937666	2940434	2	4.86E-09	5.18E-06
chr4	3364688	3367342	chr4	3463543	3465334	2	1.69E-08	8.92E-06
chr4	3462227	3465179	chr4	3485334	3488324	5	1.24E-21	4.33E-18
chr4	3687266	3690130	chr4	3827986	3829489	2	1.16E-08	8.92E-06
chr4	3828000	3830903	chr4	3869469	3872233	2	2.68E-09	3.00E-06
chr4	6045031	6046572	chr4	6110846	6113758	2	9.88E-10	1.20E-06
chr4	6110867	6112415	chr4	6416042	6418550	2	5.26E-06	9.63E-06
chr4	6280693	6283693	chr4	6415665	6418739	13	2.94E-44	2.46E-40
chr4	6280702	6283555	chr4	6291465	6294283	4	2.26E-18	6.40E-15
chr4	6280779	6282467	chr4	6344375	6345970	2	4.40E-08	8.92E-06
chr4	6344339	6345967	chr4	6384745	6387225	2	2.61E-08	8.92E-06
chr4	6344382	6347361	chr4	6415110	6418722	13	0	2.86E-42
chr4	6384341	6387324	chr4	6415756	6419013	12	2.70E-42	2.14E-38
chr4	6404283	6407432	chr4	6415717	6419973	5	1.36E-16	3.37E-13
chr4	6415697	6417314	chr4	6689465	6692361	2	3.76E-07	8.92E-06
chr5	172878890	172881863	chr5	172960002	172964107	11	6.72E-42	5.26E-38
chr5	172878927	172881799	chr5	172898321	172901284	5	1.63E-19	4.98E-16
chr5	172898480	172901439	chr5	172961140	172964134	7	1.47E-27	6.78E-24
chr5	172961382	172964174	chr5	173100392	173101950	2	3.59E-07	8.92E-06
chr5	172961878	172964007	chr5	172991430	172992947	2	1.11E-08	8.92E-06
chr5	173067854	173070713	chr5	173145625	173147216	2	3.08E-09	3.40E-06
chr5	173098916	173102045	chr5	173145382	173148541	4	4.02E-16	9.55E-13
chr5	173886967	173890373	chr5	173909148	173912043	11	2.49E-36	1.61E-32
chr5	173908977	173912020	chr5	173917196	173920210	19	0	0
chr5	173909108	173912027	chr5	173949339	173952200	2	3.61E-07	8.92E-06
chr5	173909254	173912028	chr5	174440892	174443741	3	8.81E-10	1.08E-06
chr5	176039496	176042385	chr5	176240258	176243035	3	8.82E-13	1.58E-09
chr5	176039550	176042403	chr5	176068939	176072410	3	8.82E-13	1.58E-09
chr5	176271983	176273661	chr5	176449202	176450745	2	5.37E-09	5.66E-06
chr5	176449303	176452040	chr5	176535670	176537239	2	6.52E-09	6.77E-06
chr5	177506498	177510265	chr5	177542092	177545079	6	2.05E-22	7.49E-19
chr5	177516569	177518151	chr5	177543241	177544954	2	1.04E-08	8.92E-06
chr5	177542150	177545003	chr5	177675886	177677587	2	2.92E-07	8.92E-06
chr5	177542208	177544993	chr5	180022726	180024297	2	1.58E-07	8.92E-06
chr5	177663620	177665167	chr5	177675965	177677513	2	1.25E-09	1.48E-06
chr5	177675650	177678786	chr5	177736259	177739171	4	9.64E-17	2.42E-13
chr5	177845034	177847976	chr5	177861076	177862723	3	2.00E-14	4.22E-11
chr6	1524690	1527651	chr6	1640283	1643196	7	3.47E-22	1.25E-18
chr6	1604831	1606344	chr6	1640211	1643196	3	2.47E-11	3.77E-08
chr6	1608045	1610531	chr6	1640330	1643058	3	2.29E-10	3.08E-07
chr6	1612541	1615598	chr6	1641560	1643153	3	2.54E-11	3.87E-08
chr6	1640104	1643209	chr6	2039476	2042459	21	0	0
chr6	1640242	1643170	chr6	1837518	1840535	7	7.27E-23	2.71E-19
chr6	1640276	1643209	chr6	1831654	1834597	16	0	0
chr6	1640287	1643175	chr6	1996946	1999735	3	1.22E-10	1.71E-07
chr6	1640308	1641822	chr6	1768377	1769898	2	3.64E-07	8.92E-06
chr6	1641618	1643150	chr6	1680027	1681532	2	7.19E-08	8.92E-06
chr6	2040794	2042414	chr6	2131566	2134423	2	1.39E-08	8.92E-06
chr6	3663618	3666542	chr6	3747180	3750183	3	2.07E-11	3.19E-08
chr6	3718346	3720016	chr6	3747218	3748786	2	1.54E-07	8.92E-06
chr6	3747196	3750213	chr6	3786555	3789536	5	3.83E-20	1.22E-16
chr6	4400718	4402258	chr6	4474763	4476371	2	2.60E-09	2.92E-06
chr7	155136369	155139146	chr7	155162459	155163965	2	1.55E-08	8.92E-06
chr7	155140970	155143750	chr7	155161208	155164167	3	2.34E-12	4.00E-09
chr7	155161220	155164118	chr7	155171557	155174503	13	0	0
chr7	155161230	155164153	chr7	155193697	155195256	2	3.48E-09	3.82E-06
chr7	155161242	155163867	chr7	157048162	157049673	2	5.71E-06	9.85E-06
chr7	155660005	155661588	chr7	155689499	155691027	2	1.43E-08	8.92E-06
chr7	156028792	156030426	chr7	156308949	156310495	2	6.63E-09	6.87E-06
chr7	157027416	157030437	chr7	157046761	157049642	11	5.08E-39	3.59E-35
chr7	157027483	157030357	chr7	157064199	157067075	3	3.89E-11	5.79E-08
chr7	157046681	157049639	chr7	157081208	157083009	2	2.97E-07	8.92E-06
chr7	157046684	157049742	chr7	157062667	157067241	28	0	0
chr7	157046692	157049684	chr7	157120850	157123742	7	8.74E-24	3.41E-20
chr7	157046819	157049632	chr7	157084092	157086881	2	2.39E-07	8.92E-06
chr7	157048109	157049719	chr7	157114084	157115616	2	5.89E-08	8.92E-06
chr7	157064304	157067195	chr7	157120890	157123768	2	2.14E-07	8.92E-06
chr7	157412521	157414759	chr7	158804788	158807339	2	2.37E-07	8.92E-06
chr7	157778727	157781454	chr7	157836050	157838878	2	2.92E-10	3.88E-07
chr8	8093096	8096019	chr8	8145401	8149540	5	1.62E-17	4.31E-14
chr8	8144570	8147133	chr8	8167234	8169656	3	6.52E-13	1.19E-09
chr8	8145274	8149471	chr8	8364206	8367162	11	2.34E-36	1.52E-32
chr8	8145352	8149479	chr8	8170906	8174007	12	0	3.74E-42
