chrom_left	start_left	end_left	chrom_right	start_right	end_right	pet counts between left and right anchors	p-value	FDR
chr1	27239282	27242249	chr1	27272105	27276247	9	1.57363e-38	1.08884e-34
chr1	27263930	27266770	chr1	27274683	27276937	3	2.66288e-14	5.55368e-11
chr1	30774718	30777659	chr1	30933375	30936282	3	2.58483e-11	3.9327e-08
chr1	30774791	30777659	chr1	30804426	30806051	3	1.38272e-13	2.69794e-10
chr1	30774811	30777633	chr1	30855595	30857236	3	2.68611e-12	4.54339e-09
chr1	30775704	30777673	chr1	30818478	30820216	3	2.63893e-13	5.00493e-10
chr1	30854165	30857132	chr1	30933399	30934966	2	2.63883e-09	2.94991e-06
chr1	31278136	31281535	chr1	31287242	31290961	3	7.69006e-16	1.78523e-12
chr1	31288503	31290137	chr1	31377381	31378911	2	1.16745e-10	1.63466e-07
chr1	31658160	31659782	chr1	31701120	31704019	2	3.51899e-09	3.85905e-06
chr1	31658294	31661121	chr1	31841646	31843527	4	9.03923e-15	1.96388e-11
chr1	31659453	31661038	chr1	31730390	31733220	3	2.24997e-13	4.29204e-10
chr1	31840329	31841849	chr1	32165684	32167289	2	6.94957e-09	7.16645e-06
chr1	31840355	31843217	chr1	32344427	32347291	2	5.49673e-07	8.91958e-06
chr1	31840398	31843304	chr1	31885702	31887292	2	4.87357e-09	5.19247e-06
chr1	32209652	32212366	chr1	32219729	32222475	3	1.72887e-14	3.66844e-11
chr1	32209711	32212114	chr1	32307351	32310134	2	8.96438e-08	8.91958e-06
chr1	32294602	32297986	chr1	32344374	32348021	15	0	0
chr1	32294653	32298013	chr1	32307126	32310176	31	0	0
chr1	32295148	32297968	chr1	32402863	32405858	4	2.99992e-16	7.21129e-13
chr1	32307117	32310128	chr1	32344319	32348058	15	0	0
chr1	32307285	32309592	chr20	52764344	52767260	2	0.00170924	0.00171373
chr1	32344538	32346080	chr1	32403001	32405719	2	7.63827e-09	7.80687e-06
chr1	34123276	34126272	chr1	35160544	35162244	2	2.02238e-08	8.91958e-06
chr1	34124729	34127702	chr1	34413081	34415928	2	1.29731e-09	1.53326e-06
chr1	34124734	34127807	chr1	34188281	34191577	10	1.02673e-41	7.95552e-38
chr1	34124747	34126275	chr1	34478455	34480094	2	5.12379e-10	6.5375e-07
chr1	35110174	35112778	chr1	35160478	35163182	3	4.15072e-15	9.19099e-12
chr1	35251997	35255508	chr1	35296536	35299361	3	3.33166e-14	6.88123e-11
chr1	35252561	35255507	chr1	35289891	35292899	8	1.04052e-34	6.23899e-31
chr1	38188146	38190540	chr1	38257743	38259298	2	1.03506e-08	8.91958e-06
chr1	38257736	38260589	chr1	38299199	38302126	2	8.08649e-09	8.20409e-06
chr1	39581448	39584300	chr1	39607215	39610135	5	1.48374e-22	5.45597e-19
chr1	39607279	39610149	chr1	39643395	39646389	4	9.76027e-19	2.83267e-15
chr1	41367746	41369258	chr1	41383730	41386705	2	1.99196e-10	2.71089e-07
chr1	41953190	41955693	chr1	42324594	42327485	2	2.19115e-08	8.91958e-06
chr1	41960708	41963510	chr1	42255361	42257141	2	4.7773e-07	8.91958e-06
chr1	41965950	41968776	chr1	42617829	42619413	2	1.19445e-09	1.41885e-06
chr1	41966003	41967771	chr1	42254077	42255711	2	9.18385e-07	8.91958e-06
chr1	42152318	42155310	chr1	42255339	42257026	3	9.40685e-11	1.33155e-07
chr1	42174516	42177473	chr1	42332243	42334086	2	4.24925e-08	8.91958e-06
chr1	42174568	42177505	chr1	42254023	42257126	7	7.93005e-25	3.26156e-21
chr1	42174668	42177405	chr1	42242753	42245603	3	3.60853e-11	5.38278e-08
chr1	42183920	42185431	chr1	42244076	42245643	3	9.94616e-12	1.57734e-08
chr1	42184012	42186808	chr1	42253962	42257139	4	2.91304e-13	5.49551e-10
chr1	42184098	42186813	chr1	42325841	42327823	2	6.81202e-08	8.91958e-06
chr1	42229198	42232338	chr1	42254077	42256919	6	1.42478e-21	4.96469e-18
chr1	42229266	42232224	chr1	42242690	42244314	2	7.81901e-08	8.91958e-06
chr1	42242692	42245767	chr1	42324410	42328534	11	3.21311e-34	1.88167e-30
chr1	42242695	42246094	chr1	42253748	42257148	75	0	0
chr1	42242718	42245696	chr1	42330613	42335400	14	1.17933e-41	9.0879e-38
chr1	42253705	42257118	chr1	42323072	42329942	31	0	0
chr1	42253811	42257100	chr1	42330608	42335507	65	0	0
chr1	42255276	42256922	chr1	42630264	42632925	2	1.10883e-07	8.91958e-06
chr1	43121923	43123459	chr1	43456841	43459723	2	2.57862e-07	8.91958e-06
chr1	43438963	43440571	chr1	43456763	43459682	3	1.72047e-12	2.97249e-09
chr1	43456798	43460830	chr1	43533886	43535563	5	7.24885e-20	2.24904e-16
chr1	44248024	44250966	chr1	44295245	44296821	3	5.40564e-13	9.92165e-10
chr1	45769100	45771928	chr1	45794035	45796616	2	3.5956e-09	3.93094e-06
chr1	45769114	45770815	chr1	45981208	45983001	2	1.50353e-08	8.91958e-06
chr1	47914582	47917374	chr1	47942574	47944087	2	1.09719e-10	1.54358e-07
chr1	48236276	48239171	chr1	48246512	48249443	5	9.51147e-24	3.70496e-20
chr1	48246568	48248160	chr1	48359166	48361953	2	8.92645e-09	8.91958e-06
chr1	48246568	48249494	chr1	48385485	48388363	3	2.76892e-12	4.67975e-09
chr1	48353754	48356670	chr1	48385504	48388322	3	2.4235e-13	4.61275e-10
chr1	48360438	48361999	chr1	48385503	48388390	3	6.31159e-13	1.15201e-09
chr1	51761797	51764894	chr1	51771476	51774321	7	1.21257e-28	5.87593e-25
chr1	51771271	51774388	chr1	51785690	51788783	18	0	0
chr1	51771360	51772868	chr1	52033577	52035126	2	1.69299e-08	8.91958e-06
chr1	51771388	51774209	chr1	51793692	51796636	4	3.08442e-16	7.40191e-13
chr1	51771448	51773089	chr1	51789982	51791551	2	4.17348e-09	4.5096e-06
chr1	51785805	51788643	chr1	51793816	51797576	5	3.34144e-21	1.13127e-17
chr1	52006498	52009067	chr1	52033368	52035707	2	2.44767e-09	2.75279e-06
chr1	52032019	52033713	chr1	52077052	52079765	2	4.63714e-09	4.96535e-06
chr1	52032224	52035045	chr1	52044208	52045974	2	1.21877e-09	1.44653e-06
chr1	65343610	65346363	chr1	65508723	65511637	3	6.39601e-12	1.03588e-08
chr1	65344683	65346422	chr1	65447695	65450380	2	3.02181e-08	8.91958e-06
chr1	65446947	65450522	chr1	65508755	65511747	30	0	0
chr1	65447482	65450423	chr1	65461275	65464219	8	3.22239e-33	1.81731e-29
chr1	65455415	65457975	chr1	65508778	65511710	2	1.03543e-08	8.91958e-06
chr1	65461394	65464145	chr1	65510146	65511681	3	4.80396e-12	7.88506e-09
chr1	68420120	68421620	chr7	61789793	61792663	2	1.09487e-09	1.31446e-06
chr1	71913108	71914677	chr16	85553351	85554911	2	1.35759e-07	8.91958e-06
chr1	71914328	71915976	chr1	71927298	71928813	2	9.26921e-10	1.12934e-06
chr1	75116987	75119877	chr1	75154539	75157443	2	1.24155e-08	8.91958e-06
chr1	79265346	79268150	chr1	79858034	79859765	3	8.58918e-13	1.5446e-09
chr1	85762262	85763881	chr7	99267277	99268777	2	5.16436e-11	7.55575e-08
chr1	88757926	88760749	chr1	88973739	88976604	2	2.35686e-08	8.91958e-06
chr1	91539945	91541904	chr20	52764371	52767227	2	1.87782e-06	8.91958e-06
chr1	107690362	107691862	chr3	64195061	64196713	2	1.80806e-08	8.91958e-06
chr1	107709443	107711037	chr7	49281169	49282790	6	2.56167e-28	1.2233e-24
chr1	107718960	107721515	chr10	38880565	38883063	2	3.38939e-08	8.91958e-06
chr1	107962377	107964671	chr1	108297752	108299349	2	1.13034e-06	8.91958e-06
chr1	107966948	107968466	chr1	108297731	108300609	2	9.42408e-09	8.91958e-06
chr1	108208650	108210542	chr14	69572456	69575312	2	9.80983e-11	1.38538e-07
chr1	108479151	108480763	chr1	108504540	108507307	2	1.94083e-09	2.21901e-06
chr1	108695092	108697957	chr1	108740497	108743112	2	3.17471e-08	8.91958e-06
chr1	108740492	108743415	chr17	56715783	56718654	3	3.57928e-06	8.96091e-06
chr1	109657066	109659771	chr1	109693581	109695452	2	1.00132e-07	8.91958e-06
chr1	109679137	109682265	chr1	109692637	109696436	6	4.90896e-22	1.75522e-18
chr1	111076871	111079327	chr1	111151812	111154763	2	5.35076e-10	6.7946e-07
chr1	112013660	112017497	chr1	112054756	112057815	20	0	0
chr1	112014587	112017441	chr1	112520106	112521711	3	5.23725e-10	6.66831e-07
chr1	112054760	112058968	chr1	112520071	112522959	4	1.2183e-09	1.44638e-06
chr1	112054772	112057731	chr20	52765685	52767299	2	0.0154061	0.0154095
chr1	112054785	112056542	chr1	112436302	112437809	2	4.56884e-06	9.30651e-06
chr1	112054832	112057555	chr1	112212481	112214032	3	7.75249e-11	1.10915e-07
chr1	112054841	112057778	chr1	112156587	112159461	3	7.40344e-11	1.06348e-07
chr1	112054848	112056412	chr1	112102818	112105594	2	4.09518e-07	8.91958e-06
chr1	112054848	112057578	chr1	112117944	112120854	3	3.96668e-10	5.17085e-07
chr1	112054858	112057728	chr1	112252748	112255564	3	4.59309e-10	5.92053e-07
chr1	112054865	112057705	chr1	112191302	112194020	2	5.13431e-07	8.91958e-06
chr1	112054933	112057723	chr1	112201793	112203443	3	3.18049e-11	4.76927e-08
chr1	112055949	112057765	chr1	112075570	112078370	2	4.97089e-07	8.91958e-06
chr1	112434871	112437751	chr17	59799144	59802105	3	1.45251e-07	8.91958e-06
chr1	112434899	112437857	chr1	112519226	112523002	8	2.45906e-26	1.08565e-22
chr1	112519946	112523006	chr1	112529183	112532312	10	4.15239e-35	2.54338e-31
chr1	112520099	112521615	chr20	52223523	52226359	2	1.99763e-05	2.25024e-05
chr1	112520151	112523001	chr17	59475330	59476908	2	6.40075e-06	1.0229e-05
chr1	113002170	113003670	chr1	121484409	121486928	2	3.97395e-06	8.96091e-06
chr1	114517951	114520800	chr1	114575379	114578180	4	1.40943e-11	2.20085e-08
chr1	114519332	114520854	chr1	114541844	114544693	3	1.96368e-09	2.24453e-06
chr1	114575348	114578159	chr1	114584475	114587359	3	1.13097e-11	1.783e-08
chr1	115571864	115573661	chr11	119780292	119782289	2	9.08672e-08	8.91958e-06
chr1	117400308	117403038	chr1	117560779	117562338	2	2.30402e-09	2.6022e-06
chr1	117723018	117726007	chr1	117810109	117813328	13	0	0
chr1	117723089	117725876	chr1	117741678	117743215	2	5.89896e-09	6.17402e-06
chr1	121482838	121485357	chr11	60005773	60007273	2	1.25193e-07	8.91958e-06
chr1	121482838	121485357	chr12	67755602	67757102	2	1.50109e-06	8.91958e-06
chr1	121482841	121485360	chr15	77210310	77211810	2	5.07876e-06	9.57077e-06
chr1	121482843	121485362	chr17	39326091	39327591	2	2.61585e-07	8.91958e-06
chr1	121482858	121485377	chr12	101631166	101632666	2	2.68354e-06	8.91958e-06
chr1	121483120	121484970	chr3	74722327	74724058	2	5.6883e-07	8.91958e-06
chr1	121483245	121485432	chr3	113328325	113330500	2	8.604e-06	1.1903e-05
chr1	121483533	121485391	chr5	122466845	122469397	2	1.39517e-05	1.65654e-05
chr1	121483702	121485223	chr10	42529561	42531081	2	0.00165913	0.00166363
chr1	121483703	121485971	chr14	90968607	90971551	2	0.00389077	0.0038947
chr1	121483722	121485405	chr9	34982623	34985588	2	1.84659e-07	8.91958e-06
chr1	121483725	121485970	chr3	64778935	64781523	2	0.000323201	0.000326939
chr1	121483725	121486723	chr16	74535651	74537286	2	5.79242e-07	8.91958e-06
chr1	121483859	121485388	chr8	129151504	129154334	2	0.0140453	0.0140488
chr1	121484370	121486889	chr3	194251815	194253315	2	2.55942e-06	8.91958e-06
chr1	144992899	144994435	chr1	145028983	145030524	2	3.41349e-07	8.91958e-06
chr1	145025755	145027914	chr20	47480009	47482205	2	4.21512e-05	4.49376e-05
chr1	146994684	146996210	chr1	147006230	147007786	2	6.22173e-10	7.78482e-07
chr1	147040409	147041909	chr8	43092736	43094324	2	6.23624e-07	8.91958e-06
chr1	147140647	147143106	chr1	147187392	147190871	6	5.34266e-23	2.0043e-19
chr1	147169599	147172364	chr1	147187404	147189036	2	8.16648e-09	8.27737e-06
chr1	150826249	150827749	chr3	117908406	117911171	2	3.74558e-11	5.57554e-08
chr1	150952956	150955910	chr1	150977085	150980789	6	1.22287e-22	4.50447e-19
chr1	151738943	151740566	chr1	151803459	151805004	2	4.99521e-09	5.31279e-06
chr1	151739105	151741668	chr1	151762626	151764768	2	1.12331e-08	8.91958e-06
chr1	151772064	151774919	chr1	151809447	151810983	2	1.01437e-09	1.22713e-06
chr1	154912750	154914351	chr1	155062298	155065132	2	6.6346e-09	6.86976e-06
chr1	155148492	155151044	chr1	155160179	155161836	3	1.9244e-14	4.06313e-11
chr1	156185058	156187872	chr17	31148329	31151258	2	9.78893e-08	8.91958e-06
chr1	156751329	156752920	chr1	156799750	156801311	2	1.58182e-08	8.91958e-06
chr1	156799622	156802552	chr1	156811035	156813914	5	2.46758e-22	8.98089e-19
chr1	158085009	158087836	chr10	133867088	133868767	2	5.16436e-11	7.55575e-08
chr1	162103217	162104727	chr1	162134376	162136901	2	1.13517e-08	8.91958e-06
chr1	162103266	162106075	chr1	162129320	162130831	2	3.06128e-08	8.91958e-06
chr1	164568044	164569566	chr1	164716569	164719451	3	6.62217e-13	1.20612e-09
chr1	164675122	164677749	chr1	164717509	164719472	3	9.79108e-12	1.55564e-08
chr1	164684202	164687035	chr1	164716694	164719468	5	3.01807e-19	9.02924e-16
chr1	164716304	164719441	chr1	164725580	164728564	16	0	0
chr1	164716380	164718196	chr1	164730081	164732853	2	1.37383e-07	8.91958e-06
chr1	169564282	169566865	chr17	21771780	21773280	2	2.10791e-12	3.61119e-09
chr1	175438998	175440746	chr20	52739037	52740572	2	4.15663e-06	8.96091e-06
chr1	177269181	177272007	chr1	177408809	177411633	3	6.07765e-11	8.84043e-08
chr1	177269241	177272098	chr1	177416573	177419521	8	7.70783e-27	3.45654e-23
chr1	177408747	177410470	chr1	177444649	177446171	2	4.77108e-08	8.91958e-06
chr1	177408778	177411589	chr1	177539725	177542400	2	9.51478e-08	8.91958e-06
chr1	177416456	177419517	chr1	177586910	177591504	8	1.46093e-25	6.21836e-22
chr1	177416591	177419454	chr1	177919344	177922211	6	4.90425e-20	1.54518e-16
chr1	177416612	177419483	chr1	177758453	177761301	6	7.41665e-21	2.45641e-17
chr1	177416613	177419284	chr1	177579329	177581568	2	4.63121e-07	8.91958e-06
chr1	177416623	177419431	chr1	177444527	177447483	4	7.63154e-14	1.52745e-10
chr1	177416628	177419491	chr1	177553587	177556426	3	7.29408e-10	9.01559e-07
chr1	178748990	178751895	chr20	52763971	52765894	2	4.86644e-06	9.35097e-06
chr1	179340117	179342930	chr1	179397158	179398756	2	4.26846e-10	5.52879e-07
chr1	179834371	179836113	chr1	180135921	180138628	2	3.02786e-08	8.91958e-06
chr1	179842588	179845472	chr1	179850629	179853748	3	6.61712e-13	1.20571e-09
chr1	179843031	179845390	chr1	180196550	180199249	2	9.10202e-08	8.91958e-06
chr1	180048245	180049876	chr1	180136968	180138682	4	4.81383e-16	1.13542e-12
chr1	180126694	180128207	chr1	180135974	180138624	2	1.02246e-08	8.91958e-06
chr1	180135376	180137428	chr1	180196371	180199301	4	2.15903e-14	4.53831e-11
chr1	180142261	180143849	chr1	180196310	180199264	2	6.97913e-08	8.91958e-06
chr1	180774379	180777091	chr5	19643571	19646388	2	7.24134e-10	8.953e-07
chr1	182212194	182215116	chr1	182283353	182286060	3	2.95431e-12	4.98126e-09
chr1	182601401	182604382	chr1	182614286	182617117	5	8.96965e-20	2.77688e-16
chr1	182990165	182994455	chr1	183217378	183220254	4	1.7441e-13	3.37071e-10
chr1	182991690	182994612	chr1	183190649	183193577	8	3.54455e-29	1.75143e-25
chr1	182992963	182994599	chr1	183573680	183575307	3	3.46553e-11	5.17852e-08
chr1	182993050	182994636	chr1	184340998	184342547	2	2.99092e-07	8.91958e-06
chr1	184341031	184343911	chr1	184450988	184453500	2	9.47791e-08	8.91958e-06
chr1	184450697	184453562	chr1	184507553	184509075	2	5.3875e-09	5.68611e-06
chr1	184450862	184453635	chr1	184632099	184633695	2	7.25233e-09	7.45166e-06
chr1	184450991	184454151	chr1	184515545	184518433	4	3.92204e-16	9.32291e-13
chr1	185594337	185595837	chr5	110845491	110847198	2	1.02152e-10	1.4412e-07
chr1	192905688	192907748	chr7	119633548	119635068	2	8.61433e-08	8.91958e-06
chr1	193425586	193428494	chr1	193447215	193450023	2	3.50196e-09	3.84136e-06
chr1	195634773	195636884	chr5	154400716	154402616	2	3.89147e-10	5.07902e-07
chr1	197438603	197441481	chr1	197453792	197456642	4	3.58757e-18	1.00105e-14
chr1	199653218	199655925	chr1	199984621	199986310	2	2.886e-06	8.91958e-06
chr1	199661985	199663539	chr1	199984598	199986244	2	9.52701e-08	8.91958e-06
chr1	199885679	199889178	chr1	199984544	199987659	13	1.68941e-41	1.29487e-37
chr1	199887636	199889143	chr1	200306327	200307915	2	1.62706e-07	8.91958e-06
chr1	199962859	199965969	chr1	199984615	199987684	34	0	0
chr1	199963058	199965778	chr1	200306415	200308040	2	1.30727e-06	8.91958e-06
chr1	199984465	199987435	chr17	56717077	56719347	3	0.00182316	0.00182764
chr1	199984527	199987559	chr1	200304968	200308066	18	0	0
chr1	199984558	199987525	chr1	200082429	200085374	10	4.8688e-33	2.72066e-29
chr1	199984561	199987501	chr1	200074870	200077695	4	9.7288e-13	1.73565e-09
chr1	199984622	199986310	chr20	52764456	52765965	2	0.0277703	0.0277731
chr1	199984654	199986227	chr1	200455916	200457439	2	9.20108e-08	8.91958e-06
chr1	199984677	199987337	chr1	202303191	202304773	3	3.1419e-06	8.91958e-06
chr1	199984678	199987470	chr1	200269999	200271554	3	6.13559e-11	8.91863e-08
chr1	199984821	199987527	chr1	200086593	200089445	3	3.05522e-09	3.37998e-06
chr1	199984847	199987458	chr1	200239461	200241049	2	2.30503e-07	8.91958e-06
chr1	199985846	199987418	chr1	200058943	200061768	2	3.95461e-06	8.96091e-06
chr1	199985904	199987469	chr20	52738981	52741705	3	0.00189111	0.00189559
chr1	199985970	199987539	chr1	207074569	207078517	3	7.0324e-05	7.33337e-05
chr1	199986009	199987530	chr1	200102446	200103956	2	4.73071e-07	8.91958e-06
chr1	200028709	200030209	chr11	82604428	82605929	2	1.62308e-10	2.23236e-07
chr1	200304318	200306654	chr1	200339863	200343508	3	1.83502e-11	2.84359e-08
chr1	200305064	200306648	chr1	200397149	200399950	2	7.66265e-08	8.91958e-06
chr1	200305142	200307989	chr1	200330120	200331646	2	2.04664e-08	8.91958e-06
chr1	200856893	200859677	chr1	200903825	200906692	2	9.98423e-10	1.21024e-06
chr1	201012932	201015879	chr1	201028071	201030683	2	6.46755e-09	6.71807e-06
chr1	201125595	201127249	chr1	201137951	201139475	2	6.55467e-10	8.15836e-07
chr1	201277256	201280199	chr1	201322344	201324125	2	7.66899e-09	7.83451e-06
chr1	201321215	201323890	chr1	201349236	201350995	3	8.09877e-13	1.45949e-09
chr1	201463304	201466042	chr1	202303172	202304726	2	1.04295e-06	8.91958e-06
chr1	201565873	201567380	chr1	202080773	202083604	2	2.36228e-06	8.91958e-06
chr1	201567125	201568736	chr1	202101737	202103309	2	9.18895e-07	8.91958e-06
chr1	201572676	201575690	chr1	202100372	202103282	3	3.17362e-10	4.19728e-07
chr1	201983973	201985475	chr1	202076208	202078843	2	4.99319e-08	8.91958e-06
chr1	201992308	201993829	chr1	202080720	202083655	3	8.68962e-11	1.23453e-07
chr1	202026497	202029435	chr1	202080673	202083590	5	2.06786e-17	5.47308e-14
chr1	202027521	202029341	chr1	202101670	202103337	2	2.83689e-07	8.91958e-06
chr1	202074214	202079015	chr1	202099831	202103420	17	0	0
chr1	202075517	202079057	chr1	202303119	202306141	5	2.36612e-12	4.03411e-09
chr1	202076119	202077893	chr1	202237559	202240393	2	1.02828e-05	1.33276e-05
chr1	202080594	202083625	chr1	202099853	202103362	23	0	0
chr1	202080599	202083624	chr1	202237605	202240401	5	3.09194e-13	5.81502e-10
